"ID","Source_File","Newspaper","Date","Length","Section","Author","Edition","Headline","Graphic"
31,"/Users/jackengels1/Desktop/Workspace/Final-Year-Project/R Code Examples/LexisNexisCleaning/WalmartCompiled.DOCX","Indiana Statesman: Indiana State University",2020-09-25,"434 words","SEARCH; Pg. 1",NA,NA,"Indiana to be home to Walmart's largest U.S. facility",FALSE
32,"/Users/jackengels1/Desktop/Workspace/Final-Year-Project/R Code Examples/LexisNexisCleaning/WalmartCompiled.DOCX","The Australian",2020-09-26,"385 words","WSJ; Pg. 31","Liza Lin",NA,"TikTok owner puts Oracle-Walmart deal in Beijing's hands",FALSE
33,"/Users/jackengels1/Desktop/Workspace/Final-Year-Project/R Code Examples/LexisNexisCleaning/WalmartCompiled.DOCX","The Guardian (London)",2020-09-24,"1245 words","BUSINESS; Version:2","Michael Sainato",NA,"Walmart cuts workers' hours but increases workload as sales rise amid pandemic",FALSE
34,"/Users/jackengels1/Desktop/Workspace/Final-Year-Project/R Code Examples/LexisNexisCleaning/WalmartCompiled.DOCX","The New York Times",2020-09-24,"986 words","Section B; Column 0; Business/Financial Desk; Pg. 1","By Michael Corkery",NA,"Walmart Is Transforming Itself and Retail",FALSE
35,"/Users/jackengels1/Desktop/Workspace/Final-Year-Project/R Code Examples/LexisNexisCleaning/WalmartCompiled.DOCX","CE Noticias Financieras English",2020-09-25,"230 words",NA,NA,NA,"Walmart allocates 140 mdp in Yucatan",FALSE
36,"/Users/jackengels1/Desktop/Workspace/Final-Year-Project/R Code Examples/LexisNexisCleaning/WalmartCompiled.DOCX","NAFTA (English)",2020-09-25,"180 words",NA,"Diana Sánchez",NA,"Walmart officially opens first omnichannel cedis in Mexico",FALSE
37,"/Users/jackengels1/Desktop/Workspace/Final-Year-Project/R Code Examples/LexisNexisCleaning/WalmartCompiled.DOCX","Nikkei Asian Review (Japan)",2020-09-24,"750 words",NA,NA,NA,"Trump allows Oracle and Walmart deal with TikTok",FALSE
38,"/Users/jackengels1/Desktop/Workspace/Final-Year-Project/R Code Examples/LexisNexisCleaning/WalmartCompiled.DOCX","USA TODAY",2020-09-24,"492 words","MONEY; Pg. 3B","Kelly Tyko, USA TODAY",NA,"Walmart revamps its Black Friday season",FALSE
39,"/Users/jackengels1/Desktop/Workspace/Final-Year-Project/R Code Examples/LexisNexisCleaning/WalmartCompiled.DOCX","The Daily Telegraph (London)",2020-09-24,"1192 words","BUSINESS;NEWS; Pg. 8","Laurence Dodds; Hannah Boland",NA,"Why Walmart wants to hook up with TikTok; Technology Intelligence Linking up with the Chinese viral video app makes great business sense for the US retail giant",FALSE
40,"/Users/jackengels1/Desktop/Workspace/Final-Year-Project/R Code Examples/LexisNexisCleaning/WalmartCompiled.DOCX","Rose Sheet",2020-09-25,"460 words",NA,NA,NA,"Available Online And Flying: Quest Teams With Walmart To Deliver COVID-19 Tests By Drone",FALSE
41,"/Users/jackengels1/Desktop/Workspace/Final-Year-Project/R Code Examples/LexisNexisCleaning/WalmartCompiled.DOCX","The New York Times",2020-09-23,"1028 words","BUSINESS","Michael Corkery",NA,"Beyond TikTok, Walmart Looks to Transform",FALSE
42,"/Users/jackengels1/Desktop/Workspace/Final-Year-Project/R Code Examples/LexisNexisCleaning/WalmartCompiled.DOCX","The Times (London)",2020-09-30,"612 words","NEWS; Pg. 48",NA,NA,"Supermarket giant keeps delivering; Tempus Buy, sell or hold: today's best share tips WALMART Revenue full-year 2020 $524bn Profit full-year 2020 $14.9bn",FALSE
43,"/Users/jackengels1/Desktop/Workspace/Final-Year-Project/R Code Examples/LexisNexisCleaning/WalmartCompiled.DOCX","CE Noticias Financieras English",2020-09-24,"315 words",NA,NA,NA,"Ask for permission in China to sell TikTok to Oracle and Walmart",FALSE
44,"/Users/jackengels1/Desktop/Workspace/Final-Year-Project/R Code Examples/LexisNexisCleaning/WalmartCompiled.DOCX","CE Noticias Financieras English",2020-09-24,"333 words",NA,NA,NA,"Mexico's Walmart opens first omnichannel Cedis in the country with 1,140 mdp",FALSE
45,"/Users/jackengels1/Desktop/Workspace/Final-Year-Project/R Code Examples/LexisNexisCleaning/WalmartCompiled.DOCX","The Brownsville Herald (Texas)",2020-09-24,"247 words","STATE AND REGIONAL NEWS","Erin Sheridan, The Brownsville Herald, Texas",NA,"Trial date scheduled for man who threatened to shoot up Walmart",FALSE
46,"/Users/jackengels1/Desktop/Workspace/Final-Year-Project/R Code Examples/LexisNexisCleaning/WalmartCompiled.DOCX","CE Noticias Financieras English",2020-09-24,"388 words",NA,NA,NA,"Walmart, Quest Diagnostics Pilot Drone Delivery Of COVID-19 Test Kits",FALSE
47,"/Users/jackengels1/Desktop/Workspace/Final-Year-Project/R Code Examples/LexisNexisCleaning/WalmartCompiled.DOCX","NAFTA (English)",2020-09-24,"236 words",NA,"Redacción",NA,"Walmart's first distribution center opens in Merida",FALSE
48,"/Users/jackengels1/Desktop/Workspace/Final-Year-Project/R Code Examples/LexisNexisCleaning/WalmartCompiled.DOCX","Indian Express",2020-09-24,"345 words",NA,"Express Web Desk",NA,"Walmart tests use of drone for contactless delivery of Covid-19 tests in Las Vegas",FALSE
49,"/Users/jackengels1/Desktop/Workspace/Final-Year-Project/R Code Examples/LexisNexisCleaning/WalmartCompiled.DOCX","National Post's Financial Post & FP Investing (Canada)",2020-09-24,"377 words","FINANCIAL POST; Pg. FP13","Leslie Patton, Bloomberg",NA,"Walmart to hire more than 20,000 to meet online demand for U.S. holidays",FALSE
