"Art_ID","Par_ID","Paragraph"
12,158,"It's also featuring dedicated sections within the store for toys, baby products and other areas. "
12,159,"Shoppers who don't use their smartphones for shopping will still benefit with the bigger signs, which will help them find items, Whiteside noted."
12,160,"Walmart redesign was done in concert with FITCH, one of the world's leading retail consultancy firms."
12,161,"'We worked side-by-side with Walmart to create a dynamic store design that will inspire customers and offer them a more seamless end-to-end shopping experience,' said Brandon Boston, FITCH's design director."
12,162,"'This store represents what it means to ""Live Better""- its mobile-first, it makes shopping much easier, and it can be scaled to support communities throughout the US.' "
12,163,"Alvis Washington, Walmart's vice president of marketing, told DailyMail.com that the changes are part of a plan to 'embrace a truly digitally enabled omni shopping experience.'"
12,164,"'We set out to create a more engaging experience that would allow both our associates and customers to better navigate their shopping needs in a highly customized and convenient way,' Washington said."
12,165,"'I'm incredibly proud of the team for always keeping an ear to the ground on what our customers want, and going above and beyond to ensure our passion for serving the customer and commitment to continuously evolving with their needs never wavers.' "
13,166,"Sept. 30-- Sep. 30--Bree Jones had everyone fooled. A friend, neighbors, even the police thought he was a federal agent."
13,167,"Charging documents authored by police show he duped a man into loaning him a handgun, befriended cops and walked around his apartment complex in Glen Burnie dressed in law enforcement apparel."
13,168,"Of course his name wasn't Bree Jones, it's Renul Barnet Forbes, according to court documents. And he wasn't a U.S. Marshal, but a convincing impostor."
13,169,"It appears Forbes' deceitful streak came to a conclusion Saturday at a Walmart in Glen Burnie, when an Anne Arundel officer moonlighting at the retail giant noticed a man carrying a handgun on his hip, who, when confronted, claimed to be a U.S. Marshal. The off-duty cop detained him and awaited for backup to arrive and uncover the truth."
13,170,"Forbes, of Americana Circle, has been charged with dozens of offenses related to impersonating a law enforcement officer and illegally possessing a handgun, court records show. More charges may be pending."
13,171,"A $5,000 unsecured personal bond was posted for Forbes Saturday. The 31-year-old does not have an attorney listed in court records."
13,172,"County police officers arrived at the Walmart at 6721 Chesapeake Center Drive around 12:30 p.m. after being called out to do a ""check subject."""
13,173,"In the parking lot, officers met with their off-duty colleague and a man who was openly carrying what appeared to be a Glock handgun. Approached by the off-duty cop, police wrote in charging documents for Forbes that he refused to show the officer his badge."
13,174,"When backup arrived, police wrote Forbes ""lifted up his sweatshirt and said 'oh this badge?'"""
13,175,"Forbes exposed a firearm, handcuffs and additional magazines on his belt when he pulled up his sweatshirt. Police said the badge was pinned to the same belt, but it took a while for officers to determine it was a fraud. Forbes repeated that he was a U.S. Marshal, saying that people around Glen Burnie had seen him out and about in his uniform."
13,176,"Before officers responding to the Walmart arrived, Forbes had called another county police officer to tell him about the encounter, charging documents show. Forbes allegedly claimed to know a host of officers who work out of the Northern District Station in Brooklyn Park. Police said the officer Forbes called had text messages to prove Forbes identified himself as a federal agent."
13,177,"But it wasn't adding up. After all, the 31-year-old had a suspended license and was cagey about showing his credentials."
13,178,"Charging documents show the county police officers contacted their own supervisors. Two sergeants and lieutenant descended on the scene. They asked Forbes to put them in contact with his supervisor."
13,179,"Forbes gave them a number; police called it. But the person that picked up the phone admitted they were no federal agent, the court record shows."
13,180,"A county police sergeant called a supervisor with the U.S. Marshal Service, a federal agency responsible for security at federal courthouses and fugitive apprehension. The agent wasn't ambiguous: arrest Forbes, they said, according to charging documents."
13,181,"Federal authorities told county police they would pursue additional charges."
13,182,"From his waist, they confiscated an air-soft pistol resembling a Glock handgun and a real magazine loaded with hollow-tip rounds, court records show."
13,183,"Police wrote that Walmart management wanted Forbes' vehicle towed, court records show. Inside, officers found evidence of what made his disguise so convincing -- and concerning."
13,184,"The black Ford Taurus was equipped with police lights and sirens rigged through USB ports that plugged into the car's cigarette lighter. Police wrote Forbes could control the lights from a panel on the driver's side visor. The panel could make the lights flash blue and red at different speeds and directions."
13,185,"Officers also found a brown backpack, the court records show. Inside, they located a loose hollow-tip round and Springfield handgun. The Maryland State Police Gun Center told officers Forbes was prohibited from possessing a gun or ammo; the silver and black pistol was registered to another man. Police called the unsuspecting man."
13,186,"He allegedly told them he felt comfortable loaning it to a U.S. Marshal."
13,187,"___ (c)2020 The Capital (Annapolis, Md.) Visit The Capital (Annapolis, Md.) at www.hometownannapolis.com Distributed by Tribune Content Agency, LLC."
14,188,"Walmart Annual Open Call for U.S. Sourced Products, giving selected U.S. entrepreneurs the opportunity to meet with Walmart buyers. This year's event is held virtually"
14,189,"Event Start Date: 2020-10-01"
14,190,"Event End Date: 2020-10-01"
14,191,"Event URL: http://engage.walmart-jump.com/"
15,192,"https://www.investors.com/wp-content/uploads/2016/02/SMT1030-021916-company.jpg"
15,193,"Walmart may follow up on its megadeal for India's Flipkart by investing even more in a ""super app"" for the teeming nation. Walmart stock dipped."
15,194,"The world's No. 1 retailer is in talks with Tata Group for a potential investment of up to $25 billion in its new super app, sources told India's Live Mint. It would be the biggest deal for Walmart in India after the $16 billion Flipkart acquisition two years ago."
15,195,"The app could launch as a joint venture between Tata and Walmart. Additionally, it would leverage synergies between both their e-commerce operations."
15,196,"""Walmart is keen to get a strong brand backing its e-commerce business, while Tata group wants a global name and an established player in the online space,"" a source told Live Mint. The retail giant looks ""to boost sales of products currently sold through Tata group's retail subsidiaries and online platforms to be able to compete against Reliance Industries' Jio Platforms and Amazon."""
15,197,"Walmart and Tata did not respond to Live Mint's request for comment."
15,198,"Tata's super app may go live in December or January. Reliance is also working on a super app of its own. The drive for super apps was inspired by Tencent's WeChat."
15,199,"China's WeChat super app allows users to instant message friends, order food from a restaurant. They can also book a taxi or movie tickets, get travel directions, split payments with friends, and shop online, all without leaving the app."
15,200,"Tata Group is also reportedly in discussions with other potential investors about stakes in its new digital platform."
15,201,"IBD Live: A New Tool For Daily Stock Market Analysis"
15,202,"Walmart Stock"
15,203,"Shares eased less than 0.1% to close at 137.14 on the stock market today. Walmart stock is testing the 10-week moving average, with a follow-on buy point emerging around 135."
15,204,"Meanwhile, the Tata talks come as Amazon.com has become an increasingly fierce rival in India with a nearly equal market share."
15,205,"And analysts say the huge internet ecosystem emerging in India is driving the most recent wave of investments. The number of internet users hit 743.16 million in March 2020 and could reach 1 billion by 2030, according to Bain & Company."
15,206,"U.S. and China tech companies are wagering billions to win over smartphone-wielding consumers in India. That nation has overtaken the United States as the second largest internet market in the world after China."
15,207,"Earlier this year, Facebook and Alphabet subsidiary Google plowed more than $10 billion combined into Reliance Jio, a Tata rival conglomerate."
15,208,"Find Aparna Narayanan on Twitter at @IBDAparna."
15,209,"YOU MAY ALSO LIKE:"
15,210,"Stocks To Watch: Top-Rated IPOs, Big Caps And Growth Stocks"
15,211,"Find The Latest Stocks Hitting Buy Zones With MarketSmith"
15,212,"Join IBD Live And Learn Top Chart-Reading And Trading Techniques From The Pros"
16,213,"2020-- -- Recommendations are independently chosen by Reviewed's editors. Purchases you make through our links may earn us a commission."
16,214,"Walmart rolled out its new grocery-delivery service,"
16,215,"For grocery delivery, there may be one major factor that heavily drives your decision: Your zipcode. Both services are limited by their coverage, so it's important that you check your zipcode before committing to either. If you live in a major city, like Boston or New York, you're likely ineligible for Walmart+. But if you live in a small town where Walmart is the only store around, Instacart won't cut it."
16,216,"Walmart+ vs. Instacart Express: The final verdict First, check to see whether Instacart offers coverage in your area, and which retailers that includes, then consider how Walmart+ compares."
16,217,"If a fuel discount, ""contact-free"" in-store shopping, and additional perks down the road sounds enticing, Walmart will always have the advantage over a third-party delivery app like Instacart or Shipt."
16,218,"But if you're just looking to get groceries delivered to your door, the convenience and flexibility of Instacart Express is hard for a single retailer to beat."
16,219,"Sign up for Walmart+ Sign up for Instacart Express The product experts at Reviewed have all your shopping needs covered. Follow Reviewed on Facebook, Twitter, and Instagram for the latest deals, product reviews, and more."
16,220,"Prices were accurate at the time this article was published but may change over time."
16,221,"This article originally appeared on Reviewed.com: Walmart+ vs. Instacart: Here's what you need to know"
16,222,"___ (c)2020 Columbia Daily Tribune, Mo. Visit Columbia Daily Tribune, Mo. at www.columbiatribune.com Distributed by Tribune Content Agency, LLC."
17,223,"On a Friday morning in June 2009, Walmart's then-chief executive officer Mike Duke stood in front of thousands of employees and shareholders at a star-studded corporate gala and announced that the world's largest retailer needed more female leaders."
17,224,"His pledge to make changes would have a major unintended consequence: a setback for Black representation."
17,225,"Duke that day unveiled a global women's council designed to help boost the share of women in senior leadership roles, then at 27 per cent - a glaring disparity, when women made up more than half of Walmart's U.S. workforce. Jump forward 11 years, and Walmart has boosted that share to nearly one-third. Meantime, the share of Black leadership roles has declined recently."
17,226,"Walmart's focus on women - spurred by a classaction gender discrimination lawsuit - left Black men and women on the outside looking in, according to a half-dozen African-American former associates who worked at Walmart's headquarters in Bentonville, Ark. These people, who requested anonymity as some still live there and all fear retribution for criticizing the nation's largest employer, depicted an environment where promising Black staffers repeatedly failed to break into the company's officer ranks, while white women gained, buttressed by a strong career-development network."
17,227,"What happened inside Walmart offers a lesson for other companies trying to diversify their management ranks. As the nation's biggest private employer, Walmart sets a standard with its workforce policies that other big employers typically follow. The retailer also has held itself up as a leader this year by making one of the largest corporate commitments to battling racial inequality, with a US$100-million pledge."
17,228,"Walmart Inc. isn't the only retailer with a poor track record on race: At Target Corp., its cheap-chic rival, only three of the top 54 executives are Black. Costco had no Black senior executives as of 2018, according to the most recent data available, and the leadership team at electronics retailer Best Buy Co. is also dominated by white faces. Elevating women while neglecting Black employees'career advancement is also endemic across much of U.S. industry, including on corporate boards, where white women have made gains in recent years while racial minorities have lagged behind."
17,229,"Black workers say they recall being aggressively recruited to join Walmart, then quickly realizing once they arrived that they weren't part of the predominantly white informal networks - based on local university and church affiliations - that supply a disproportionate share of Walmart's top leaders."
17,230,"Over the years, Walmart has often sought advice from noted Black leaders such as the Reverend Al Sharpton, but failed to listen closely enough to those in its own ranks."
17,231,"For those reasons and others, from 2015 until the middle of this year, the share of Black people in officer roles declined from 8.7 per cent to 6.9 per cent, in a 1.5 million-strong Walmart U.S. workforce that now is 21 per cent Black. Their share of middle-management jobs hasn't budged in five years, according to Walmart."
17,232,"(A Bloomberg request for data going back to 2005, when Walmart first began disclosing diversity figures to the Equal Employment Opportunity Commission, was denied due to a lack of ""bandwidth."") Walmart's chief people officer Donna Morris denies that the gains made by women came at the expense of Black staffers, but acknowledged that the company's efforts to identify and promote talented minorities needs to improve. A few have risen recently, such as Dacona Smith, now COO of the U.S. business."
17,233,"But many of Walmart's promising Black leaders have left to lead other organizations: Roz Brewer, who once ran the company's Sam's Club warehouse division, is now the chief operating officer of Starbucks Corp. and sits on the board of Walmart archrival Amazon.com Inc. Don Frieson, a logistics expert and onetime COO of Sam's Club, now oversees the supply chain for home-improvement retailer Lowe's Cos. Claire Babineaux-Fontenot, a former executive vice-president and treasurer, now leads the nation's biggest food bank. Jeffrey Davis, once the chief financial officer of the U.S. business, left to be the finance chief of Olive Garden parent Darden Restaurants Inc. before returning to the retail sector. Phyllis Harris, Walmart's former head of legal operations, is now the top lawyer for the American Red Cross."
17,234,"Walmart's shortchanging of Black managers, however unintentional, is jarring in light of its recent US$100-million plan in the wake of George Floyd's killing to create a centre on racial equity that promises to ""use the power of Walmart"" to find ways to address systemic racism. CEO Doug Mc-Millon, in announcing the pledge, said the company also needed to ""actively shape our culture to be more inclusive"" and warned that managers who didn't promote diversity would need to find work elsewhere."
17,235,"""Words and feelings matter but they are not enough,"" said McMillon, who also is chairman of Business Roundtable, giving him one of the loudest bullhorns in corporate America. Walmart has taken some action already. It has promised to post all job openings at the vice-president level and below internally first, to encourage in-house candidates."
17,236,"It will also release its diversity and inclusion statistics twice a year rather than annually."
17,237,"""I want Walmart to be known for its people practices,"" said Morris, who joined the company in February from Adobe Inc. ""I'm not sure if we are now."""
17,238,"Walmart, in its campaign to elevate women, isn't the first big company to experience unintended fallout from a well-intentioned diversity initiative. Research on why these efforts fail has become a cottage industry in academia."
17,239,"For starters, such initiatives often are reactive - a response to high-profile litigation, as in Walmart's case, or fear of embarrassing revelations. Second, the programs themselves force-feed diversity to reluctant managers, according to a 2016 Harvard Business Review article, which can ""activate bias rather than stamp it out."" The authors, Frank Dobbin and Alexandra Kalev, analyzed 816 U.S. companies and found that popular interventions such as mandatory diversity training and grievance systems actually made those businesses less diverse over five years."
17,240,"""You won't get managers on board by blaming and shaming them with rules and re-education,"" Dobbin and Kalev wrote. ""People often respond to compulsory courses with anger and resistance - and many participants actually report more animosity toward other groups afterward."""
17,241,"Walmart's error was channelling its firepower to fix one glaring problem in response to the gender discrimination suit, then failing to do the same for its 340,000 Black U.S. employees, a population nearly the size of Cleveland. Such tunnel vision is common, according to experts in the field."
17,242,"""They go all in on some aspect of diversity,"" says Steve Bucherati, the former chief diversity officer at Coca-Cola Co., ""and take their eye off the ball when it comes to the broader aspects of the work."""
17,243,"While organizations spend billions of dollars every year on diversity programs, consultants and conferences, the problem persists, especially for Black managers."
17,244,"Meanwhile, women have enjoyed gains over that same period, as they have at Walmart. Women now hold almost a third of executive roles, up from 27 per cent when Duke made his commitment in 2009."
17,245,"But most of the women are white, including the four who report directly to the CEO. There are no Black women or men in those high-profile roles, which lead to the top slot. Walmart has just one Black director, down from two a decade ago."
